baiping-2021-10-30 20:34:42,879-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-10-30 20:35:22,425-INFO-输入用户名:admin
baiping-2021-10-30 20:35:22,429-INFO-输入内容:admin
baiping-2021-10-30 20:35:22,497-INFO-输入密码:admin
baiping-2021-10-30 20:35:22,498-INFO-输入内容:admin
baiping-2021-10-30 20:35:22,553-INFO-提交
baiping-2021-10-30 20:35:22,554-INFO-点击按钮:submit
baiping-2021-10-30 20:35:23,012-INFO-切换frame:main
baiping-2021-10-30 20:35:28,127-INFO-获取页面文本内容:欢迎使用报价管理系统
baiping-2021-10-30 20:35:31,708-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-10-30 20:35:31,795-INFO-输入用户名:admin
baiping-2021-10-30 20:35:31,797-INFO-输入内容:admin
baiping-2021-10-30 20:35:31,858-INFO-输入密码:123456
baiping-2021-10-30 20:35:31,859-INFO-输入内容:123456
baiping-2021-10-30 20:35:31,915-INFO-提交
baiping-2021-10-30 20:35:31,916-INFO-点击按钮:submit
baiping-2021-10-30 20:35:32,022-INFO-获取页面文本内容:请勿非法登录！
baiping-2021-10-30 20:35:35,669-INFO-打开网址:http://localhost:8080/JavaPrj_6/
baiping-2021-10-30 20:35:35,789-INFO-输入用户名:admin
baiping-2021-10-30 20:35:35,790-INFO-输入内容:admin
baiping-2021-10-30 20:35:35,851-INFO-输入密码:admin
baiping-2021-10-30 20:35:35,851-INFO-输入内容:admin
baiping-2021-10-30 20:35:35,905-INFO-提交
baiping-2021-10-30 20:35:35,906-INFO-点击按钮:submit
baiping-2021-10-30 20:35:36,034-INFO-切换frame:Links
baiping-2021-10-30 20:35:41,108-INFO-点击按钮://*[@id="Bar_panel0_b0"]/img
baiping-2021-10-30 20:35:41,181-INFO-切换frame:main
baiping-2021-10-30 20:35:46,242-INFO-点击按钮:/html/body/center/table[2]/tbody/tr[2]/td[2]/a
baiping-2021-10-30 20:35:46,380-INFO-切换窗体:新增客户信息
baiping-2021-10-30 20:35:46,504-INFO-输入内容:c004
baiping-2021-10-30 20:35:46,574-INFO-输入内容:mike
baiping-2021-10-30 20:35:46,628-INFO-输入内容:
baiping-2021-10-30 20:35:46,681-INFO-输入内容:
baiping-2021-10-30 20:35:46,732-INFO-输入内容:
baiping-2021-10-30 20:35:46,781-INFO-输入内容:
baiping-2021-10-30 20:35:46,831-INFO-点击按钮:saveButton
baiping-2021-10-30 20:35:46,978-INFO-获取页面文本内容:添加记录成功！
本窗口将在3秒后自动关闭
baiping-2021-10-30 20:35:46,978-INFO-切换窗体:报价管理系统
baiping-2021-10-30 20:35:46,994-INFO-切换frame:Links
baiping-2021-10-30 20:35:52,057-INFO-点击按钮://*[@id="Bar_panel0_b1"]/img
baiping-2021-10-30 20:35:52,137-INFO-切换frame:main
baiping-2021-10-30 20:35:57,210-INFO-输入内容:c004
baiping-2021-10-30 20:35:57,291-INFO-输入内容:
baiping-2021-10-30 20:35:57,340-INFO-输入内容:
baiping-2021-10-30 20:35:57,389-INFO-输入内容:
baiping-2021-10-30 20:35:57,439-INFO-输入内容:
baiping-2021-10-30 20:35:57,489-INFO-输入内容:
baiping-2021-10-30 20:35:57,538-INFO-点击按钮:/html/body/center/form/table[3]/tbody/tr/td/input
baiping-2021-10-30 20:35:57,704-INFO-获取页面文本内容:c004
baiping-2021-10-30 20:35:57,728-INFO-获取页面文本内容:mike
baiping-2021-10-30 20:35:57,752-INFO-获取页面文本内容:
baiping-2021-10-30 20:35:57,775-INFO-获取页面文本内容:
baiping-2021-10-30 20:35:57,797-INFO-获取页面文本内容:
baiping-2021-10-30 20:35:57,818-INFO-获取页面文本内容:
